06-Feb-2019 14:43:52 Mu Value: -1; Total : 620; Predicted : 338; Correct : 204
06-Feb-2019 14:43:53 Mu Value: -0.9; Total : 620; Predicted : 478; Correct : 302
06-Feb-2019 14:43:53 Mu Value: -0.8; Total : 620; Predicted : 622; Correct : 385
06-Feb-2019 14:43:53 Mu Value: -0.7; Total : 620; Predicted : 767; Correct : 461
06-Feb-2019 14:43:54 Mu Value: -0.6; Total : 620; Predicted : 888; Correct : 532
06-Feb-2019 14:43:54 Mu Value: -0.5; Total : 620; Predicted : 963; Correct : 578
06-Feb-2019 14:43:54 Mu Value: -0.4; Total : 620; Predicted : 1010; Correct : 621
06-Feb-2019 14:43:54 Mu Value: -0.3; Total : 620; Predicted : 999; Correct : 635
06-Feb-2019 14:43:55 Mu Value: -0.2; Total : 620; Predicted : 974; Correct : 640
06-Feb-2019 14:43:55 Mu Value: -0.1; Total : 620; Predicted : 940; Correct : 644
06-Feb-2019 14:43:55 Mu Value: 0; Total : 620; Predicted : 909; Correct : 646
06-Feb-2019 14:43:55 Mu Value: 0.1; Total : 620; Predicted : 853; Correct : 636
06-Feb-2019 14:43:55 Mu Value: 0.2; Total : 620; Predicted : 801; Correct : 632
06-Feb-2019 14:43:56 Mu Value: 0.3; Total : 620; Predicted : 761; Correct : 636
06-Feb-2019 14:43:56 Mu Value: 0.4; Total : 620; Predicted : 729; Correct : 628
06-Feb-2019 14:43:56 Mu Value: 0.5; Total : 620; Predicted : 710; Correct : 626
06-Feb-2019 14:43:56 Mu Value: 0.6; Total : 620; Predicted : 684; Correct : 610
06-Feb-2019 14:43:57 Mu Value: 0.7; Total : 620; Predicted : 672; Correct : 604
06-Feb-2019 14:43:57 Mu Value: 0.8; Total : 620; Predicted : 645; Correct : 586
06-Feb-2019 14:43:57 Mu Value: 0.9; Total : 620; Predicted : 625; Correct : 571
06-Feb-2019 14:43:58 Mu Value: 1; Total : 620; Predicted : 601; Correct : 549
06-Feb-2019 14:50:14 Mu Value: -1; Total : 620; Predicted : 338; Correct : 229
06-Feb-2019 14:50:15 Mu Value: -0.9; Total : 620; Predicted : 478; Correct : 328
06-Feb-2019 14:50:15 Mu Value: -0.8; Total : 620; Predicted : 622; Correct : 415
06-Feb-2019 14:50:15 Mu Value: -0.7; Total : 620; Predicted : 767; Correct : 480
06-Feb-2019 14:50:15 Mu Value: -0.6; Total : 620; Predicted : 888; Correct : 550
06-Feb-2019 14:50:16 Mu Value: -0.5; Total : 620; Predicted : 963; Correct : 587
06-Feb-2019 14:50:16 Mu Value: -0.4; Total : 620; Predicted : 1010; Correct : 629
06-Feb-2019 14:50:16 Mu Value: -0.3; Total : 620; Predicted : 999; Correct : 639
06-Feb-2019 14:50:16 Mu Value: -0.2; Total : 620; Predicted : 974; Correct : 641
06-Feb-2019 14:50:16 Mu Value: -0.1; Total : 620; Predicted : 940; Correct : 645
06-Feb-2019 14:50:17 Mu Value: 0; Total : 620; Predicted : 909; Correct : 646
06-Feb-2019 14:50:17 Mu Value: 0.1; Total : 620; Predicted : 853; Correct : 636
06-Feb-2019 14:50:17 Mu Value: 0.2; Total : 620; Predicted : 801; Correct : 632
06-Feb-2019 14:50:17 Mu Value: 0.3; Total : 620; Predicted : 761; Correct : 636
06-Feb-2019 14:50:18 Mu Value: 0.4; Total : 620; Predicted : 729; Correct : 628
06-Feb-2019 14:50:18 Mu Value: 0.5; Total : 620; Predicted : 710; Correct : 626
06-Feb-2019 14:50:18 Mu Value: 0.6; Total : 620; Predicted : 684; Correct : 610
06-Feb-2019 14:50:18 Mu Value: 0.7; Total : 620; Predicted : 672; Correct : 604
06-Feb-2019 14:50:19 Mu Value: 0.8; Total : 620; Predicted : 645; Correct : 586
06-Feb-2019 14:50:19 Mu Value: 0.9; Total : 620; Predicted : 625; Correct : 571
06-Feb-2019 14:50:19 Mu Value: 1; Total : 620; Predicted : 601; Correct : 549
